time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
323,0,4568,24
326,0,244568,32
370,0,244576,48
374,0,244568,32
378,0,244624,48
380,0,244596,44
382,0,244568,32
384,0,244568,32
386,0,259568,48
388,0,244568,32
390,0,245504,48
392,0,244568,32
394,0,244568,32
396,0,244584,40
398,0,244568,32
400,0,244568,32
402,0,244568,32
404,0,244568,32
406,0,244584,40
408,0,244568,32
410,0,244584,40
412,0,244568,32
414,0,244576,48
416,0,244580,44
418,0,244584,40
420,0,244568,32
422,0,244568,32
424,0,244568,32
426,0,244576,48
428,0,244596,44
430,0,304568,40
432,0,244580,44
434,0,244684,52
436,0,244584,40
438,0,244580,44
440,0,244568,32
442,0,244584,40
444,0,244568,32
446,0,244600,40
448,0,244596,44
450,0,244584,40
452,0,244568,32
454,0,244628,44
457,0,244568,32
459,0,244576,48
461,0,244584,40
463,0,244568,32
466,0,244584,40
468,0,244624,48
470,0,244584,40
472,0,244628,44
473,0,364568,40
475,0,244600,40
477,0,244568,32
479,0,244580,44
481,0,244568,32
483,0,244568,32
485,0,244568,32
487,0,244584,40
489,0,244596,44
491,0,244576,48
493,0,244576,48
495,0,244576,48
497,0,244576,48
499,0,244596,44
502,0,244576,48
504,0,244568,32
506,0,244576,48
508,0,244568,32
510,0,244576,48
512,0,244568,32
514,0,244568,32
516,0,244624,48
518,0,244600,40
520,0,244568,32
527,0,244684,52
529,0,244568,32
531,0,244580,44
533,0,244568,32
535,0,244568,32
537,0,244568,32
539,0,244624,48
541,0,244600,40
543,0,244576,48
545,0,244624,48
547,0,244576,48
549,0,244584,40
551,0,244568,32
553,0,244568,32
555,0,484568,40
565,0,249193,71
568,0,245097,63
