time,stack,heap,heap_extra
0,0,0,0
318,0,472,16
326,0,404568,32
401,0,404576,48
409,0,404568,32
417,0,404580,44
421,0,404580,44
425,0,404576,48
429,0,404568,32
433,0,404580,44
437,0,404580,44
441,0,404568,32
445,0,404568,32
449,0,404576,48
453,0,404576,48
457,0,404576,48
461,0,404568,32
465,0,404576,48
469,0,404568,32
473,0,404592,48
477,0,404580,44
481,0,404596,44
487,0,504568,40
491,0,404576,48
496,0,404568,32
500,0,404568,32
504,0,404568,32
508,0,404568,32
512,0,404580,44
516,0,404764,52
520,0,404576,48
524,0,404568,32
528,0,404592,48
532,0,404568,32
536,0,404580,44
540,0,404592,48
544,0,404568,32
550,0,404576,48
555,0,404592,48
559,0,604568,40
563,0,404568,32
567,0,404576,48
571,0,404568,32
575,0,404592,48
579,0,404568,32
583,0,404568,32
587,0,404580,44
591,0,404568,32
595,0,404576,48
599,0,404580,44
603,0,404580,44
607,0,404596,44
611,0,404592,48
615,0,404580,44
619,0,404956,52
623,0,404568,32
627,0,404576,48
631,0,404576,48
635,0,404592,48
639,0,404568,32
643,0,404576,48
647,0,404576,48
651,0,404580,44
655,0,404580,44
659,0,404576,48
663,0,404576,48
667,0,404616,40
671,0,404568,32
675,0,404568,32
679,0,404568,32
683,0,404664,40
687,0,404576,48
700,0,404580,44
704,0,404568,32
708,0,804568,40
718,0,409196,68
