time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
323,0,4568,24
326,0,44568,32
335,0,44576,48
336,0,44580,44
337,0,44568,32
338,0,44568,32
339,0,44568,32
340,0,44576,48
341,0,44576,48
342,0,44588,52
343,0,44568,32
344,0,44576,48
345,0,44568,32
346,0,44568,32
347,0,44568,32
348,0,44568,32
349,0,44568,32
350,0,44580,44
351,0,44568,32
352,0,44568,32
353,0,44568,32
354,0,44568,32
355,0,44576,48
356,0,44568,32
357,0,44568,32
358,0,44568,32
359,0,64568,40
360,0,44568,32
361,0,44576,48
362,0,44588,52
363,0,44576,48
364,0,44580,44
365,0,44568,32
366,0,44576,48
367,0,44576,48
368,0,44608,48
369,0,44576,48
370,0,44580,44
371,0,44580,44
372,0,47068,52
373,0,44576,48
374,0,44580,44
375,0,44576,48
376,0,44576,48
377,0,44576,48
378,0,44568,32
379,0,44568,32
380,0,44588,52
381,0,44576,48
382,0,44608,48
383,0,44568,32
383,0,84568,40
385,0,45100,60
392,0,49196,68
395,0,45100,60
396,0,44628,44
