time,stack,heap,heap_extra
0,0,0,0
318,0,472,16
326,0,4004568,32
1035,0,4004576,48
1099,0,4004568,32
1191,0,4004576,48
1233,0,4004568,32
1297,0,4004628,44
1367,0,4004584,40
1411,0,4504568,40
1475,0,4004576,48
1539,0,4004568,32
1603,0,4004568,32
1639,0,4004584,40
1703,0,4004600,40
1791,0,5004568,40
1855,0,4004568,32
1919,0,4004576,48
1983,0,4004568,32
2047,0,4004692,44
2111,0,4004568,32
2199,0,4004632,40
2268,0,4004584,40
2332,0,4004568,32
2396,0,4004628,44
2460,0,4004576,48
2524,0,4004584,40
2593,0,6004568,40
2657,0,4004600,40
2737,0,4004628,44
2801,0,4004576,48
2865,0,4004568,32
2929,0,4004584,40
2993,0,4004576,48
3057,0,4004576,48
3137,0,4004576,48
3177,0,4004576,48
3241,0,4004568,32
3305,0,4004596,44
3348,0,4004568,32
3412,0,4004580,44
3452,0,4004584,40
3595,0,4004628,44
3683,0,4004568,32
3747,0,4004576,48
3811,0,4004568,32
3875,0,4004600,40
3939,0,4004688,48
4003,0,4004812,52
4083,0,4004568,32
4091,0,4004584,40
4099,0,4004600,40
4107,0,4004568,32
4115,0,4004692,44
4123,0,4004576,48
4131,0,4004568,32
4139,0,4004584,40
4147,0,4004584,40
4155,0,4004568,32
4163,0,4004576,48
4171,0,4004568,32
4179,0,4004568,32
4187,0,4004584,40
4195,0,4004576,48
4203,0,4004584,40
4211,0,4004576,48
4219,0,4004568,32
4227,0,4004568,32
4237,0,4004568,32
4246,0,4004568,32
4261,0,8004568,40
4274,0,4009197,67
