time,stack,heap,heap_extra
0,0,0,0
323,0,472,16
331,0,1004568,32
478,0,1004576,48
494,0,1020196,44
510,0,1004576,48
526,0,1004576,48
539,0,1067068,52
555,0,1004576,48
566,0,1004584,40
582,0,1129568,48
598,0,1004576,48
614,0,1004568,32
634,0,1004576,48
650,0,1004812,52
669,0,1254568,40
681,0,1004576,48
693,0,1004584,40
705,0,1004576,48
717,0,1004596,44
729,0,1004568,32
741,0,1004576,48
753,0,1004568,32
771,0,1004584,40
788,0,1004600,40
800,0,1004568,32
812,0,1004584,40
824,0,1004580,44
839,0,1004568,32
849,0,1004568,32
863,0,1504568,40
883,0,1004568,32
903,0,1004568,32
923,0,1004576,48
943,0,1004580,44
953,0,1004568,32
963,0,1004568,32
973,0,1004576,48
983,0,1004568,32
993,0,1004568,32
1003,0,1004568,32
1013,0,1004580,44
1023,0,1004584,40
1033,0,1004628,44
1043,0,1004568,32
1053,0,1004628,44
1063,0,1004576,48
1097,0,1004584,40
1107,0,1004568,32
1117,0,1004628,44
1125,0,1004576,48
1133,0,1004568,32
1141,0,1004568,32
1149,0,1004568,32
1157,0,1004568,32
1165,0,1004628,44
1173,0,1004568,32
1181,0,1004600,40
1189,0,1004576,48
1197,0,1004568,32
1205,0,1004568,32
1213,0,1004568,32
1221,0,1004568,32
1229,0,1004576,48
1237,0,1004568,32
1245,0,1004568,32
1252,0,2004568,40
1263,0,1009196,68
