time,stack,heap,heap_extra
0,0,0,0
321,0,472,16
325,0,4568,24
328,0,24568,32
333,0,24576,48
333,0,24576,48
334,0,24568,32
334,0,24568,32
335,0,24580,44
335,0,24568,32
336,0,24580,44
336,0,24568,32
337,0,24576,48
337,0,24576,48
338,0,24568,32
338,0,24568,32
339,0,24576,48
339,0,24568,32
340,0,24576,48
340,0,24568,32
341,0,24576,48
341,0,24588,52
342,0,24568,32
342,0,24568,32
343,0,24608,48
343,0,34568,40
343,0,24576,48
344,0,24568,32
344,0,24576,48
345,0,24568,32
345,0,24580,44
346,0,24568,32
346,0,24580,44
347,0,24568,32
347,0,24568,32
348,0,24588,52
348,0,24588,52
349,0,24568,32
349,0,24568,32
350,0,24724,44
350,0,24576,48
351,0,24568,32
351,0,24576,48
352,0,24568,32
352,0,24568,32
353,0,24580,44
353,0,24576,48
354,0,24568,32
354,0,24568,32
354,0,25816,40
354,0,24568,32
354,0,27068,52
354,0,24568,32
354,0,29568,48
354,0,24568,32
354,0,34568,40
355,0,24568,32
355,0,44568,40
355,0,44568,40
355,0,24568,32
355,0,24627,45
356,0,25099,61
364,0,29195,69
367,0,25099,61
368,0,24627,45
368,0,20531,37
368,0,20059,21
368,0,20000,8
368,0,0,0
