time,stack,heap,heap_extra
0,0,0,0
332,0,472,16
336,0,4568,24
339,0,44568,32
348,0,44576,48
349,0,44568,32
350,0,44568,32
351,0,44568,32
352,0,44580,44
353,0,44568,32
354,0,44568,32
355,0,44568,32
356,0,44568,32
357,0,44608,48
358,0,44568,32
359,0,44568,32
360,0,44588,52
361,0,44568,32
362,0,44568,32
363,0,44568,32
364,0,44724,44
365,0,44568,32
366,0,44568,32
367,0,44568,32
368,0,44588,52
369,0,64568,40
370,0,44588,52
371,0,44604,52
372,0,44576,48
373,0,44608,48
374,0,44568,32
375,0,44608,48
376,0,44576,48
377,0,44584,40
378,0,44576,48
379,0,44580,44
380,0,44576,48
381,0,44576,48
382,0,44584,40
383,0,44580,44
384,0,44580,44
385,0,44576,48
386,0,44568,32
387,0,44568,32
388,0,44580,44
389,0,44588,52
390,0,44576,48
391,0,44568,32
392,0,44576,48
393,0,44576,48
394,0,44588,52
394,0,84568,40
395,0,44633,55
396,0,45105,71
404,0,49201,79
407,0,45105,71
408,0,44633,55
