time,stack,heap,heap_extra
0,0,0,0
318,0,472,16
326,0,1004568,32
506,0,1004576,48
514,0,1004568,32
522,0,1004584,40
530,0,1004568,32
538,0,1004568,32
546,0,1004568,32
554,0,1004576,48
567,0,1067068,52
575,0,1004600,40
583,0,1004576,48
594,0,1012380,52
609,0,1129568,48
617,0,1004568,32
625,0,1004568,32
633,0,1004576,48
641,0,1004568,32
649,0,1004584,40
661,0,1004576,48
669,0,1004568,32
677,0,1004576,48
685,0,1004568,32
693,0,1004584,40
703,0,1004568,32
711,0,1004576,48
719,0,1005056,48
727,0,1004568,32
735,0,1004568,32
743,0,1004568,32
751,0,1004576,48
759,0,1004600,40
767,0,1004576,48
775,0,1004600,40
783,0,1004632,40
791,0,1004568,32
805,0,1004600,40
813,0,1004576,48
821,0,1004812,52
829,0,1004576,48
837,0,1004576,48
845,0,1004812,52
853,0,1004568,32
861,0,1004600,40
875,0,1504568,40
883,0,1004576,48
891,0,1004568,32
899,0,1004568,32
911,0,1004584,40
919,0,1004576,48
927,0,1004576,48
935,0,1004568,32
943,0,1004576,48
951,0,1004568,32
959,0,1004568,32
967,0,1004576,48
975,0,1004576,48
983,0,1004576,48
991,0,1004576,48
999,0,1004568,32
1007,0,1004584,40
1015,0,1004584,40
1023,0,1004576,48
1031,0,1004576,48
1039,0,1004584,40
1047,0,1004568,32
1055,0,1004600,40
1063,0,1004568,32
1095,0,1004584,40
1103,0,1004576,48
1111,0,1004576,48
1119,0,1004576,48
1127,0,1004632,40
1135,0,1004576,48
1143,0,1004568,32
1151,0,1004568,32
1159,0,1004576,48
1167,0,1005056,48
1175,0,1004628,44
1183,0,1004576,48
1191,0,1004568,32
1199,0,1004584,40
1207,0,1004576,48
1215,0,1004568,32
1223,0,1004812,52
1231,0,1004568,32
1239,0,1004568,32
1242,0,2004568,40
1253,0,1009203,77
