time,stack,heap,heap_extra
0,0,0,0
324,0,472,16
328,0,4568,24
331,0,8568,32
334,0,8576,48
335,0,8576,48
335,0,8568,32
336,0,8584,40
336,0,10568,40
336,0,8568,32
337,0,8576,48
337,0,8568,32
338,0,8816,48
338,0,8568,32
338,0,8600,40
338,0,8568,32
338,0,8632,40
338,0,8568,32
338,0,8576,48
338,0,8568,32
338,0,8576,48
338,0,8568,32
338,0,8584,40
338,0,8568,32
338,0,8576,48
338,0,8568,32
338,0,8576,48
338,0,8568,32
338,0,8584,40
338,0,8568,32
338,0,8600,40
338,0,8568,32
338,0,8576,48
338,0,8568,32
338,0,8576,48
338,0,8568,32
338,0,8584,40
338,0,8568,32
338,0,8576,48
338,0,8568,32
338,0,8580,44
338,0,8568,32
338,0,8596,44
338,0,8568,32
338,0,8628,44
338,0,8568,32
338,0,8692,44
338,0,8568,32
338,0,8816,48
338,0,8568,32
338,0,9068,52
338,0,8568,32
338,0,9568,48
338,0,8568,32
338,0,10568,40
338,0,8568,32
338,0,12568,40
338,0,12568,40
338,0,8568,32
338,0,8633,55
340,0,9105,71
346,0,13201,79
349,0,13201,79
349,0,9105,71
350,0,8633,55
350,0,4537,47
350,0,4065,31
350,0,4000,8
350,0,0,0
