time,stack,heap,heap_extra
0,0,0,0
317,0,472,16
322,0,4568,24
325,0,44568,32
334,0,44576,48
335,0,44568,32
336,0,44568,32
337,0,44576,48
338,0,44568,32
339,0,44576,48
340,0,44568,32
341,0,44576,48
342,0,44568,32
343,0,44568,32
344,0,44576,48
345,0,44576,48
346,0,44580,44
347,0,44568,32
348,0,44576,48
349,0,44568,32
350,0,44576,48
351,0,44576,48
352,0,44568,32
353,0,44568,32
354,0,44568,32
355,0,47068,52
356,0,44568,32
357,0,44576,48
358,0,64568,40
359,0,44588,52
360,0,44576,48
361,0,44604,52
362,0,44576,48
363,0,44576,48
364,0,44576,48
365,0,45192,40
366,0,44576,48
367,0,44568,32
368,0,44608,48
369,0,44568,32
370,0,44568,32
371,0,44576,48
372,0,44608,48
373,0,44880,48
374,0,44584,40
375,0,44568,32
376,0,44608,48
377,0,44576,48
378,0,44576,48
379,0,44580,44
380,0,44588,52
381,0,44580,44
382,0,44580,44
382,0,84568,40
383,0,44636,52
384,0,45108,68
392,0,49204,76
395,0,45108,68
396,0,44636,52
