time,stack,heap,heap_extra
0,0,0,0
318,0,472,16
322,0,4568,24
325,0,124568,32
348,0,124576,48
352,0,124568,32
354,0,124804,44
356,0,124576,48
358,0,124584,40
360,0,124568,32
362,0,124568,32
364,0,124804,44
366,0,124568,32
368,0,124568,32
370,0,124576,48
372,0,124568,32
374,0,124596,44
376,0,124624,48
378,0,124596,44
380,0,124568,32
382,0,139568,48
384,0,124576,48
386,0,124576,48
388,0,124584,40
390,0,124568,32
392,0,124568,32
394,0,124576,48
396,0,124568,32
398,0,124568,32
400,0,124576,48
402,0,124584,40
404,0,124596,44
407,0,184568,40
409,0,124576,48
411,0,124576,48
413,0,124596,44
415,0,124596,44
417,0,124596,44
419,0,124576,48
421,0,124580,44
423,0,124576,48
425,0,124568,32
427,0,124568,32
429,0,124600,40
431,0,124576,48
433,0,124576,48
435,0,124568,32
437,0,124568,32
439,0,124568,32
442,0,128316,52
444,0,124584,40
446,0,124576,48
447,0,244568,40
449,0,125109,67
457,0,129205,75
460,0,125109,67
