time,stack,heap,heap_extra
0,0,0,0
320,0,472,16
325,0,4568,24
328,0,44568,32
336,0,44576,48
337,0,44588,52
338,0,44576,48
339,0,44644,44
340,0,44568,32
341,0,44576,48
342,0,44576,48
343,0,44568,32
344,0,44568,32
345,0,44568,32
346,0,44568,32
347,0,44580,44
348,0,44576,48
349,0,44576,48
350,0,44568,32
351,0,44588,52
352,0,44568,32
353,0,44648,40
354,0,44568,32
355,0,44580,44
356,0,44568,32
357,0,44568,32
358,0,64568,40
359,0,44576,48
360,0,44568,32
361,0,44568,32
362,0,44568,32
363,0,44568,32
364,0,44580,44
365,0,44576,48
366,0,44576,48
367,0,44588,52
368,0,44580,44
369,0,44568,32
370,0,44576,48
371,0,44584,40
372,0,44576,48
373,0,44576,48
374,0,44588,52
375,0,44568,32
376,0,44580,44
377,0,44724,44
378,0,44568,32
379,0,45196,52
380,0,44580,44
381,0,44604,52
382,0,44580,44
383,0,44576,48
383,0,84568,40
384,0,44637,51
385,0,45109,67
393,0,49205,75
396,0,45109,67
397,0,40000,8
