time,stack,heap,heap_extra
0,0,0,0
321,0,472,16
326,0,4568,24
329,0,124568,32
351,0,124576,48
355,0,124568,32
359,0,124568,32
361,0,124580,44
363,0,124568,32
365,0,124568,32
367,0,139568,48
369,0,124576,48
371,0,124568,32
373,0,124568,32
375,0,124576,48
377,0,124576,48
379,0,124568,32
381,0,124568,32
383,0,124580,44
385,0,124576,48
387,0,124568,32
389,0,124568,32
391,0,124596,44
393,0,124576,48
395,0,124600,40
397,0,124580,44
399,0,124568,32
401,0,124624,48
403,0,124568,32
405,0,124684,52
407,0,124584,40
409,0,124576,48
411,0,184568,40
413,0,124576,48
415,0,124568,32
417,0,124576,48
419,0,124584,40
421,0,124568,32
423,0,124576,48
425,0,124576,48
427,0,124584,40
429,0,124584,40
431,0,124568,32
433,0,124576,48
435,0,124576,48
438,0,124576,48
440,0,124576,48
442,0,124584,40
444,0,124576,48
447,0,124576,48
449,0,124568,32
451,0,124568,32
452,0,244568,40
454,0,125099,61
462,0,129195,69
465,0,125099,61
