time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
323,0,4568,24
327,0,124568,32
349,0,124576,48
353,0,124568,32
357,0,124568,32
359,0,124568,32
361,0,124568,32
363,0,124568,32
365,0,139568,48
367,0,124568,32
369,0,124576,48
371,0,124568,32
373,0,124628,44
375,0,124568,32
377,0,124596,44
379,0,124568,32
381,0,124576,48
383,0,124576,48
385,0,124576,48
387,0,124568,32
389,0,124576,48
391,0,124600,40
393,0,124568,32
395,0,124568,32
397,0,124568,32
399,0,124596,44
401,0,124576,48
403,0,124580,44
405,0,124596,44
408,0,184568,40
410,0,124580,44
412,0,124568,32
414,0,124568,32
416,0,124568,32
418,0,124576,48
420,0,124576,48
422,0,124576,48
424,0,124628,44
426,0,124568,32
428,0,124576,48
430,0,124576,48
432,0,124568,32
434,0,124576,48
436,0,124596,44
438,0,124568,32
440,0,124568,32
442,0,124568,32
444,0,124568,32
446,0,124576,48
448,0,124576,48
448,0,244568,40
450,0,125100,60
458,0,129196,68
461,0,125100,60
